word,global,noise-aware,self,top,bot
emilia,12.866,12.932,12.919,0.000,0.000
cohorts,21.093,20.989,22.169,0.000,0.000
selina,14.592,14.472,14.704,0.000,0.000
landslide,20.221,20.358,21.765,0.000,0.000
indicted,50.913,51.054,52.744,0.000,0.000
catapult,8.619,8.670,8.661,0.000,0.000
311,22.321,22.380,24.247,0.000,0.000
walkman,11.706,11.605,11.070,0.000,0.000
mystics,13.131,13.204,13.789,0.000,0.000
glaxo,10.795,10.617,11.773,0.000,0.000
wreath,36.209,36.224,36.725,0.000,0.000
elisa,16.116,16.187,17.008,0.000,0.000
gag,21.193,21.222,21.444,0.000,0.000
dixie,38.912,39.271,38.518,0.000,0.000
swinton,10.669,10.834,10.423,0.000,0.000
doin,15.210,15.280,15.205,0.000,0.000
compacts,18.461,18.465,18.615,0.000,0.000
binocular,17.458,17.385,17.753,0.000,0.000
substantiate,13.724,13.679,14.721,0.000,0.000
leonardo,40.418,40.463,40.752,0.000,0.000
portraiture,12.389,12.369,12.122,0.000,0.000
239,15.135,15.130,17.547,0.000,0.000
etching,20.975,20.839,21.091,0.000,0.000
jung,38.054,37.866,39.063,0.000,0.000
orphan,22.247,22.071,22.281,0.000,0.000
buoyancy,20.474,20.403,21.061,0.000,0.000
inexperience,11.773,11.731,12.162,0.000,0.000
mended,11.700,11.653,11.416,0.000,0.000
tristan,9.390,9.404,9.337,0.000,0.000
reciprocity,28.736,28.653,29.848,0.000,0.000
olympus,24.649,24.673,24.592,0.000,0.000
stoop,28.628,28.633,28.897,0.000,0.000
reigns,27.568,27.797,26.805,0.000,0.000
overture,14.058,13.893,13.313,0.000,0.000
whyte,8.688,8.709,8.651,0.000,0.000
xii,25.495,25.510,26.924,0.000,0.000
collage,25.911,25.759,25.337,0.000,0.000
wholesalers,19.187,19.106,19.807,0.000,0.000
glories,15.361,15.373,14.942,0.000,0.000
shriek,25.984,25.966,25.532,0.000,0.000
brighten,24.167,24.051,23.900,0.000,0.000
lacy,14.447,14.408,14.016,0.000,0.000
childlike,21.061,20.978,20.706,0.000,0.000
tripping,19.863,19.944,19.988,0.000,0.000
cordon,16.181,16.222,15.423,0.000,0.000
incipient,9.808,9.799,9.650,0.000,0.000
replicate,31.401,31.368,32.444,0.000,0.000
lengthening,11.599,11.536,11.358,0.000,0.000
recklessly,12.171,12.094,12.425,0.000,0.000
unsold,11.532,11.604,11.680,0.000,0.000
lenient,14.661,14.695,15.084,0.000,0.000
augment,19.413,19.425,20.054,0.000,0.000
slicing,31.752,31.674,31.279,0.000,0.000
jutting,23.922,23.873,23.652,0.000,0.000
scurrying,21.404,21.449,21.415,0.000,0.000
dictum,18.099,18.131,18.622,0.000,0.000
