word,global,noise-aware,self,top,bot
atom,25.642,24.373,23.184,0.000,0.000
loop,5.524,5.082,4.720,0.000,0.000
symmetries,13.732,14.084,12.431,0.000,0.000
distributions,2.272,2.347,2.854,0.000,0.000
provide,2.168,2.208,2.157,0.000,0.000
physically,1.036,0.931,0.842,0.000,0.000
include,0.865,0.854,1.089,0.000,0.000
back,0.536,0.525,0.410,0.000,0.000
familiar,1.684,1.624,2.175,0.000,0.000
version,3.002,2.808,1.885,0.000,0.000
substitution,1.515,1.491,1.725,0.000,0.000
heat,3.712,3.689,3.679,0.000,0.000
resulting,0.525,0.503,0.501,0.000,0.000
suitable,0.815,0.717,0.590,0.000,0.000
rule,30.937,31.568,30.588,0.000,0.000
turn,0.723,0.719,0.516,0.000,0.000
measure,6.502,5.780,7.423,0.000,0.000
equivalence,8.640,8.796,9.362,0.000,0.000
understanding,1.858,1.895,1.979,0.000,0.000
yet,0.928,0.960,0.796,0.000,0.000
recently,0.985,1.030,1.047,0.000,0.000
often,1.549,1.440,1.494,0.000,0.000
reduced,1.619,1.832,1.887,0.000,0.000
ratio,1.466,1.511,1.475,0.000,0.000
varying,2.526,2.920,3.095,0.000,0.000
short,1.308,1.197,1.253,0.000,0.000
step,10.758,10.437,11.513,0.000,0.000
transformed,2.481,2.738,2.754,0.000,0.000
expected,3.595,3.877,3.345,0.000,0.000
identified,1.634,1.646,1.788,0.000,0.000
measurements,11.279,10.607,9.215,0.000,0.000
around,2.023,2.034,1.917,0.000,0.000
common,1.964,1.970,1.987,0.000,0.000
assumptions,1.114,0.947,1.143,0.000,0.000
modified,1.751,1.734,1.821,0.000,0.000
suppose,4.773,4.700,4.924,0.000,0.000
department,1.145,1.083,1.136,0.000,0.000
oxford,4.956,4.898,4.891,0.000,0.000
bound,11.093,10.857,9.711,0.000,0.000
contrast,0.576,0.606,0.480,0.000,0.000
convenient,1.922,1.972,1.735,0.000,0.000
obvious,0.756,0.762,1.227,0.000,0.000
